,record_num,id,latitude,longitude,occupancy_status,current_status,current_stop_sequence,bearing,direction_id,route_id,stop_id,trip_id,updated_at
0,1,y1881,42.36568527,-71.10436894,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,7,0,1,1,72,57345839,2023-08-14 21:04:38
1,2,y1815,42.36172699,-71.09781424,FULL,IN_TRANSIT_TO,17,303,0,1,101,57345371,2023-08-14 21:04:40
2,3,y1807,42.32984,-71.08381,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,180,1,1,64,57345836,2023-08-14 21:04:26
3,4,y1797,42.33381,-71.07361,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,6,0,0,1,57,57345376,2023-08-14 21:04:12
4,5,y1777,42.34435,-71.08629,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,13,135,1,1,80,57345838,2023-08-14 21:04:09
5,6,y1774,42.34135722,-71.08277274,FULL,IN_TRANSIT_TO,10,318,0,1,188,57345374,2023-08-14 21:04:38
6,7,y1733,42.34296313,-71.08530927,FULL,IN_TRANSIT_TO,14,0,1,1,82,57345837,2023-08-14 21:04:38
7,8,y1881,42.36564042,-71.10429704,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,7,131,1,1,72,57345839,2023-08-14 21:04:44
8,9,y1815,42.36200309,-71.09812538,FULL,IN_TRANSIT_TO,17,315,0,1,101,57345371,2023-08-14 21:04:44
9,10,y1807,42.32984,-71.08381,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,180,1,1,64,57345836,2023-08-14 21:04:26
10,11,y1797,42.33381,-71.07361,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,6,0,0,1,57,57345376,2023-08-14 21:04:12
11,12,y1777,42.34435,-71.08629,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,13,135,1,1,80,57345838,2023-08-14 21:04:09
12,13,y1774,42.34158874,-71.08307547,FULL,IN_TRANSIT_TO,10,0,0,1,188,57345374,2023-08-14 21:04:48
13,14,y1733,42.34301066,-71.08531204,FULL,IN_TRANSIT_TO,14,0,1,1,82,57345837,2023-08-14 21:04:48
14,15,y1881,42.36532817,-71.10360539,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,7,126,1,1,72,57345839,2023-08-14 21:04:58
15,16,y1815,42.36259532,-71.09911139,FULL,IN_TRANSIT_TO,17,316,0,1,101,57345371,2023-08-14 21:04:56
16,17,y1807,42.32984,-71.08381,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,180,1,1,64,57345836,2023-08-14 21:04:26
17,18,y1797,42.33384724,-71.0736195,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,6,0,0,1,57,57345376,2023-08-14 21:04:54
18,19,y1777,42.34440684,-71.08629455,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,13,0,1,1,80,57345838,2023-08-14 21:04:56
